Maintenance_ID,Asset_ID,Maintenance_Type,Date,Cost_USD,Downtime_Minutes,Technician
MNT-5123,AST-1010,Reactive,2023-12-06,4413,67,Mr. John Thompson DDS
MNT-5124,AST-1277,Emergency,2023-04-22,10924,167,Beth Medina
MNT-5125,AST-1327,Preventive,2023-12-05,1832,3,Mrs. Jean Brown DVM
MNT-5126,AST-1270,Predictive,2023-07-30,1273,17,Mary Johnson
MNT-5127,AST-1108,Preventive,2023-01-25,764,12,Andrew Hart
MNT-5128,AST-1367,Preventive,2023-03-02,1636,27,Rhonda Rodriguez
MNT-5129,AST-1158,Emergency,2023-02-26,12395,169,Julie Ibarra
MNT-5130,AST-1078,Emergency,2023-07-16,11553,201,Sara Peterson
MNT-5131,AST-1076,Preventive,2023-07-14,1756,39,Deborah Trujillo
MNT-5132,AST-1432,Reactive,2023-08-06,7050,70,Toni Goodman
MNT-5133,AST-1490,Reactive,2023-06-11,12377,180,Alyssa Johnson DDS
MNT-5134,AST-1464,Preventive,2023-11-21,1786,35,Lori Fields
MNT-5135,AST-1117,Preventive,2023-07-10,1868,32,Daniel Marshall
MNT-5136,AST-1379,Emergency,2023-01-29,2892,108,Michael Harris
MNT-5137,AST-1322,Reactive,2023-03-05,10110,93,David Peterson
MNT-5138,AST-1289,Reactive,2023-08-17,11766,103,Garrett Taylor
MNT-5139,AST-1283,Preventive,2023-08-13,956,0,Samantha Shea
MNT-5140,AST-1164,Preventive,2023-11-08,1556,7,Bryan Armstrong
MNT-5141,AST-1243,Emergency,2023-05-06,6885,230,Scott Webb
MNT-5142,AST-1071,Predictive,2023-07-12,1423,20,Michael Yang
MNT-5143,AST-1276,Predictive,2023-11-14,1112,19,John Rodriguez
MNT-5144,AST-1299,Preventive,2023-11-22,1473,21,Devon Wells
MNT-5145,AST-1253,Preventive,2023-11-15,681,38,Bryan Lynch
MNT-5146,AST-1081,Reactive,2023-04-11,11064,79,Jody Pratt
MNT-5147,AST-1491,Reactive,2023-06-11,3817,89,Vanessa Nguyen
MNT-5148,AST-1153,Preventive,2023-11-09,726,34,Steven Snyder
MNT-5149,AST-1299,Emergency,2023-09-23,9312,79,Mitchell Cooper
MNT-5150,AST-1252,Preventive,2023-12-30,1024,27,Jessica Collins
MNT-5151,AST-1068,Emergency,2023-01-25,10866,84,Jenna Jackson
MNT-5152,AST-1399,Reactive,2023-08-17,7150,125,Margaret Russell
MNT-5153,AST-1126,Emergency,2023-07-08,2533,189,Aaron Ryan MD
MNT-5154,AST-1108,Predictive,2023-09-29,858,1,Danielle Davis
MNT-5155,AST-1306,Preventive,2023-03-26,772,35,Anne Huynh
MNT-5156,AST-1142,Preventive,2023-01-07,1249,12,Maria Wells
MNT-5157,AST-1315,Predictive,2023-07-15,533,18,Natalie Murphy
MNT-5158,AST-1025,Preventive,2023-05-11,1206,13,Lauren Francis
MNT-5159,AST-1215,Preventive,2023-01-02,785,4,Julie Bradley
MNT-5160,AST-1387,Preventive,2023-05-07,976,38,Travis Parker
MNT-5161,AST-1425,Predictive,2023-08-14,705,9,Brenda Walker
MNT-5162,AST-1327,Preventive,2023-08-05,1730,11,Brittany Lee
MNT-5163,AST-1167,Reactive,2023-11-27,12295,169,Heather Eaton
MNT-5164,AST-1213,Preventive,2023-11-22,673,18,Sarah Brown
MNT-5165,AST-1271,Preventive,2023-06-22,1087,19,Sonya Blanchard
MNT-5166,AST-1377,Preventive,2023-08-06,1439,28,Tina Shelton DDS
MNT-5167,AST-1080,Emergency,2023-11-08,11117,68,Dominique Baldwin
MNT-5168,AST-1069,Emergency,2023-08-27,5566,200,Sarah George
MNT-5169,AST-1044,Preventive,2023-04-02,1522,42,Amy Gomez
MNT-5170,AST-1371,Reactive,2023-10-24,11249,62,Emily Horton
MNT-5171,AST-1203,Reactive,2023-04-15,8851,295,Vernon Alexander
MNT-5172,AST-1030,Preventive,2023-11-17,613,30,Amanda Durham DDS
MNT-5173,AST-1292,Preventive,2023-05-15,1092,16,Laura Mann
MNT-5174,AST-1358,Predictive,2023-09-10,701,23,Brett Wilson DDS
MNT-5175,AST-1252,Reactive,2023-10-20,14938,84,Angela Rivera
MNT-5176,AST-1105,Preventive,2023-03-20,1833,33,Rebecca Gregory
MNT-5177,AST-1201,Predictive,2023-11-06,1387,31,Lauren Aguirre
MNT-5178,AST-1013,Predictive,2023-11-16,1859,41,Eric Williams
MNT-5179,AST-1177,Predictive,2023-01-25,970,23,Joseph Avila
MNT-5180,AST-1139,Emergency,2023-01-25,9201,233,Matthew Stout
MNT-5181,AST-1138,Reactive,2023-05-11,9530,127,Frank Hansen
MNT-5182,AST-1090,Preventive,2023-04-03,1896,35,Jeffrey Anderson
MNT-5183,AST-1213,Preventive,2023-07-15,836,33,Michelle Soto
MNT-5184,AST-1368,Preventive,2023-07-04,550,28,Roberta Woods DDS
MNT-5185,AST-1227,Preventive,2023-09-02,1421,13,Rachel Buckley
MNT-5186,AST-1072,Preventive,2023-05-18,867,7,Kelly Franco
MNT-5187,AST-1320,Predictive,2023-05-18,1167,34,Annette Cooper
MNT-5188,AST-1049,Predictive,2023-04-18,519,14,Haley Olsen
MNT-5189,AST-1395,Predictive,2023-07-06,1507,6,Gabriel Jones
MNT-5190,AST-1458,Reactive,2023-05-22,13673,250,Jonathan Mccoy
MNT-5191,AST-1234,Preventive,2023-12-11,1226,41,Rebecca Roy
MNT-5192,AST-1003,Preventive,2023-07-04,1483,23,Rebecca Jackson
MNT-5193,AST-1278,Preventive,2023-12-08,905,4,Michael Campos
MNT-5194,AST-1480,Reactive,2023-11-06,10481,203,Joseph Jordan
MNT-5195,AST-1109,Emergency,2023-08-09,5730,274,Betty Diaz
MNT-5196,AST-1396,Predictive,2023-05-23,1755,44,Adam Lopez
MNT-5197,AST-1323,Emergency,2023-03-23,2551,150,Cynthia Miller
MNT-5198,AST-1356,Preventive,2023-12-27,1793,27,Chloe Riley
MNT-5199,AST-1205,Preventive,2023-09-30,1036,33,David Gonzalez
MNT-5200,AST-1267,Preventive,2023-06-17,1223,41,Kimberly Hall
MNT-5201,AST-1190,Reactive,2023-12-02,4670,196,Tracy Sandoval
MNT-5202,AST-1346,Reactive,2023-11-11,9164,298,Vickie Daniel
MNT-5203,AST-1262,Emergency,2023-08-17,2519,275,Anthony Vargas
MNT-5204,AST-1023,Reactive,2023-04-30,11027,118,Ruth Jackson
MNT-5205,AST-1473,Preventive,2023-10-15,1095,31,Mrs. Sue Anderson
MNT-5206,AST-1407,Preventive,2023-08-19,1137,38,Shane Garcia
MNT-5207,AST-1106,Reactive,2023-04-03,10374,227,Brittany King
MNT-5208,AST-1232,Reactive,2023-02-11,12014,111,Patricia Douglas
MNT-5209,AST-1319,Predictive,2023-05-11,520,3,Carla Bush
MNT-5210,AST-1486,Predictive,2023-01-04,1187,38,Michele Larson
MNT-5211,AST-1037,Reactive,2023-08-30,13391,95,Melissa Joseph
MNT-5212,AST-1431,Predictive,2023-08-24,1879,19,Cheryl May
MNT-5213,AST-1401,Reactive,2023-07-04,11305,228,Ryan Price
MNT-5214,AST-1087,Reactive,2023-07-08,6722,197,Henry Vaughn
MNT-5215,AST-1389,Preventive,2023-12-12,1155,42,Natalie Hamilton
MNT-5216,AST-1155,Predictive,2023-06-14,1399,15,Tina Rasmussen
MNT-5217,AST-1056,Preventive,2023-03-25,1502,20,Michael Harrison
MNT-5218,AST-1305,Predictive,2023-03-07,842,19,Jonathan Mills
MNT-5219,AST-1484,Preventive,2023-01-14,1074,29,Robert Chavez
MNT-5220,AST-1310,Preventive,2023-10-05,1586,0,Ashley King
MNT-5221,AST-1280,Emergency,2023-02-26,10694,106,Mark Miller
MNT-5222,AST-1288,Preventive,2023-10-04,776,5,Andrew Richardson
MNT-5223,AST-1341,Preventive,2023-06-27,1546,0,Michael Hess
MNT-5224,AST-1342,Emergency,2023-05-02,7118,161,Hailey Diaz
MNT-5225,AST-1324,Reactive,2023-04-28,7597,159,Amy Ortiz
MNT-5226,AST-1177,Preventive,2023-07-24,1534,16,Carlos Mcclain
MNT-5227,AST-1367,Reactive,2023-03-03,4461,95,Kevin Frye
MNT-5228,AST-1322,Predictive,2023-01-01,1940,12,Oscar Chambers
MNT-5229,AST-1111,Preventive,2023-08-29,1546,37,Amanda Washington
MNT-5230,AST-1184,Preventive,2023-08-27,1774,31,Bryan Barnes
MNT-5231,AST-1300,Predictive,2023-06-24,1174,24,Mr. Craig Cowan
MNT-5232,AST-1389,Preventive,2023-09-23,998,45,Sarah Spencer
MNT-5233,AST-1102,Reactive,2023-11-11,11193,121,Lori Norton
MNT-5234,AST-1351,Reactive,2023-07-06,6946,173,Christopher Gay
MNT-5235,AST-1035,Preventive,2023-04-24,1312,7,Shannon Schultz
MNT-5236,AST-1343,Predictive,2023-06-01,773,33,Jacob Webb
MNT-5237,AST-1222,Predictive,2023-03-16,1132,2,Michael Barajas MD
MNT-5238,AST-1070,Predictive,2023-09-16,616,13,Jane Lowe
MNT-5239,AST-1386,Predictive,2023-09-17,1036,31,Victor Smith
MNT-5240,AST-1006,Preventive,2023-07-13,1381,43,Megan Hicks
MNT-5241,AST-1352,Preventive,2023-01-08,1040,26,Jessica Gilbert
MNT-5242,AST-1177,Reactive,2023-06-22,9767,284,Lee Rice
MNT-5243,AST-1311,Preventive,2023-06-02,758,23,Jeremy Smith
MNT-5244,AST-1193,Preventive,2023-02-06,1420,22,Jessica Reed
MNT-5245,AST-1466,Preventive,2023-11-03,943,13,Jennifer Parker
MNT-5246,AST-1447,Predictive,2023-07-22,1373,5,Philip White
MNT-5247,AST-1246,Preventive,2023-03-12,1071,22,Dr. Denise Young
MNT-5248,AST-1268,Preventive,2023-09-30,1381,24,Pamela Herrera
MNT-5249,AST-1287,Reactive,2023-03-20,10605,269,Haley Simpson
MNT-5250,AST-1005,Preventive,2023-06-30,556,44,Nancy Garcia
MNT-5251,AST-1071,Preventive,2023-10-27,1319,41,Andrew Harper
MNT-5252,AST-1288,Emergency,2023-04-02,14068,191,Sarah Vincent
MNT-5253,AST-1128,Preventive,2023-09-02,713,32,Taylor Gibson
MNT-5254,AST-1020,Preventive,2023-04-13,1242,32,Johnny Richards
MNT-5255,AST-1126,Preventive,2023-03-08,1593,33,Cody Miller
MNT-5256,AST-1488,Reactive,2023-10-10,6153,83,Matthew Parrish
MNT-5257,AST-1361,Reactive,2023-03-22,3550,284,Robert Blackwell
MNT-5258,AST-1025,Preventive,2023-10-17,1207,24,Juan Flores
MNT-5259,AST-1461,Emergency,2023-03-15,5311,137,Richard Johnson
MNT-5260,AST-1375,Reactive,2023-04-24,13238,148,William Thomas
MNT-5261,AST-1360,Predictive,2023-09-14,1540,21,Stacy Parrish
MNT-5262,AST-1409,Preventive,2023-07-11,1017,5,William Evans
MNT-5263,AST-1246,Preventive,2023-02-10,1246,2,Steven Williams
MNT-5264,AST-1398,Reactive,2023-01-30,10751,63,Danielle Miller
MNT-5265,AST-1489,Preventive,2023-09-17,1808,14,Gary Mason
MNT-5266,AST-1177,Preventive,2023-10-22,1445,44,Linda Ray
MNT-5267,AST-1083,Emergency,2023-06-04,13257,170,Joshua Russell
MNT-5268,AST-1295,Reactive,2023-12-05,7800,236,Matthew Peters
MNT-5269,AST-1363,Preventive,2023-07-18,676,0,Michael Kent
MNT-5270,AST-1363,Preventive,2023-09-13,1675,42,Karen Mccoy
MNT-5271,AST-1211,Preventive,2023-08-10,1034,42,Katherine Simpson
MNT-5272,AST-1172,Preventive,2023-01-28,849,1,Joseph Lee
MNT-5273,AST-1394,Predictive,2023-06-21,630,30,Brian Caldwell
MNT-5274,AST-1267,Predictive,2023-06-07,923,41,Lisa Rivera
MNT-5275,AST-1215,Preventive,2023-03-13,1324,28,Cheryl Martin
MNT-5276,AST-1490,Preventive,2023-03-17,1590,35,Valerie Dawson
MNT-5277,AST-1026,Reactive,2023-02-09,11073,208,Stacey Kirk
MNT-5278,AST-1245,Emergency,2023-02-27,11964,220,Mr. Michael Grimes DDS
MNT-5279,AST-1304,Preventive,2023-11-19,922,26,Tracey Melton
MNT-5280,AST-1089,Reactive,2023-04-03,4176,261,Travis Rojas
MNT-5281,AST-1244,Preventive,2023-05-05,1686,8,Patricia Moore
MNT-5282,AST-1305,Predictive,2023-07-30,1244,40,George Sanders
MNT-5283,AST-1470,Preventive,2023-05-12,1662,41,Bryan Dixon
MNT-5284,AST-1434,Reactive,2023-04-04,3386,183,Timothy Perkins
MNT-5285,AST-1125,Reactive,2023-09-09,7741,191,Jenna Meadows
MNT-5286,AST-1009,Preventive,2023-06-18,1491,11,Lacey White
MNT-5287,AST-1432,Reactive,2023-01-15,13816,201,Samuel Thomas
MNT-5288,AST-1261,Preventive,2023-04-12,1925,2,Joel Miller
MNT-5289,AST-1140,Preventive,2023-07-01,908,15,Krista Pope
MNT-5290,AST-1180,Reactive,2023-07-13,9783,229,Joseph Baker
MNT-5291,AST-1267,Preventive,2023-12-27,1981,23,Jeffrey Reyes
MNT-5292,AST-1434,Preventive,2023-04-03,1066,33,Nicole Black
MNT-5293,AST-1415,Predictive,2023-05-10,770,0,Tyler Turner
MNT-5294,AST-1156,Reactive,2023-09-21,9252,143,Brad Lester
MNT-5295,AST-1266,Predictive,2023-07-23,658,7,Sandra Kline
MNT-5296,AST-1193,Reactive,2023-11-28,4139,65,Mrs. Sandra Lynch
MNT-5297,AST-1328,Preventive,2023-10-19,1179,28,Jerry Norman
MNT-5298,AST-1386,Reactive,2023-06-14,7249,280,Brian Erickson
MNT-5299,AST-1228,Predictive,2023-11-29,642,37,Jessica Walker
MNT-5300,AST-1148,Predictive,2023-08-27,1723,36,Robert Baker
MNT-5301,AST-1308,Preventive,2023-04-23,1310,21,Michelle Dixon
MNT-5302,AST-1497,Reactive,2023-02-11,8802,284,James Spencer
MNT-5303,AST-1420,Reactive,2023-10-26,14328,221,William Harding
MNT-5304,AST-1001,Preventive,2023-05-18,689,14,John Stewart
MNT-5305,AST-1403,Emergency,2023-03-04,12973,201,Jesus Gray
MNT-5306,AST-1104,Predictive,2023-07-30,1857,6,Amanda Calhoun
MNT-5307,AST-1484,Preventive,2023-12-04,804,29,Alexandra Young
MNT-5308,AST-1037,Reactive,2023-09-13,12281,222,Mr. Brian Mcgee II
MNT-5309,AST-1002,Preventive,2023-02-23,724,38,Sydney Sanchez
MNT-5310,AST-1362,Predictive,2023-07-01,1138,45,Marc Mckinney
MNT-5311,AST-1276,Preventive,2023-03-04,1112,4,Cindy Perez
MNT-5312,AST-1342,Preventive,2023-10-13,1335,19,Hannah Valdez
MNT-5313,AST-1288,Preventive,2023-06-27,1776,41,Richard Cochran
MNT-5314,AST-1330,Reactive,2023-12-14,5378,155,Abigail Nichols
MNT-5315,AST-1078,Preventive,2023-10-21,1412,14,James Hernandez
MNT-5316,AST-1068,Reactive,2023-12-10,8162,158,Robin Davis
MNT-5317,AST-1299,Preventive,2023-10-26,1599,45,Shawn Johnson
MNT-5318,AST-1422,Reactive,2023-04-18,12515,227,Henry Macdonald
MNT-5319,AST-1245,Reactive,2023-04-21,3901,289,Patricia Nelson
MNT-5320,AST-1478,Predictive,2023-04-09,1590,18,Nicholas Thomas
MNT-5321,AST-1415,Preventive,2023-12-28,1701,23,Michael Morse
MNT-5322,AST-1338,Preventive,2023-01-14,1257,44,Matthew Morales
MNT-5323,AST-1223,Preventive,2023-05-23,1127,11,Brenda Jacobs
MNT-5324,AST-1468,Preventive,2023-05-05,785,17,Wesley Walter
MNT-5325,AST-1408,Reactive,2023-12-05,11962,162,Joseph Vance
MNT-5326,AST-1208,Emergency,2023-06-01,14947,174,Mary Crosby
MNT-5327,AST-1470,Preventive,2023-04-09,1598,42,Travis Watson
MNT-5328,AST-1496,Preventive,2023-11-22,671,35,Melissa Mcclure
MNT-5329,AST-1364,Predictive,2023-09-25,1834,28,Vanessa Hutchinson
MNT-5330,AST-1480,Reactive,2023-02-18,8739,271,David Brady MD
MNT-5331,AST-1352,Preventive,2023-10-27,881,20,Rhonda Kirk
MNT-5332,AST-1018,Emergency,2023-01-01,6637,121,Samuel Graves
MNT-5333,AST-1371,Preventive,2023-04-20,879,38,Mackenzie Roberts
MNT-5334,AST-1457,Reactive,2023-11-09,5670,284,Daniel Morris
MNT-5335,AST-1177,Reactive,2023-11-14,10579,294,Casey Diaz
MNT-5336,AST-1340,Preventive,2023-01-17,684,10,Sarah Greer
MNT-5337,AST-1102,Predictive,2023-11-25,1188,36,Brandon Conley
MNT-5338,AST-1108,Preventive,2023-05-05,1233,27,Bonnie Ford
MNT-5339,AST-1439,Preventive,2023-09-12,1202,7,Jonathan Garcia
MNT-5340,AST-1223,Emergency,2023-05-19,2274,232,Kyle Jenkins
MNT-5341,AST-1440,Emergency,2023-05-15,2604,299,Terri Coleman
MNT-5342,AST-1075,Reactive,2023-04-15,11006,286,Clifford Scott
MNT-5343,AST-1332,Reactive,2023-10-09,2161,94,Mrs. Alexandria Sanders
MNT-5344,AST-1197,Predictive,2023-09-03,1162,36,Paige Sloan
MNT-5345,AST-1457,Predictive,2023-10-01,678,19,James Day
MNT-5346,AST-1429,Preventive,2023-05-07,1063,0,Amanda Lewis
MNT-5347,AST-1198,Predictive,2023-07-13,1395,34,Sheryl Cole
MNT-5348,AST-1496,Predictive,2023-03-29,1317,0,Jim Gates
MNT-5349,AST-1207,Preventive,2023-02-06,1151,20,Shannon Reeves
MNT-5350,AST-1156,Preventive,2023-03-27,1511,7,Miss Margaret Patel
MNT-5351,AST-1150,Reactive,2023-03-09,7888,180,Michael Castillo
MNT-5352,AST-1076,Preventive,2023-08-03,1776,35,Brittany Mckay
MNT-5353,AST-1346,Emergency,2023-06-08,3520,240,Amanda Blake
MNT-5354,AST-1332,Reactive,2023-12-03,11947,80,Michael Smith
MNT-5355,AST-1146,Preventive,2023-06-26,840,21,Samantha Oconnell
MNT-5356,AST-1369,Preventive,2023-08-16,882,18,Kara Macdonald DVM
MNT-5357,AST-1100,Reactive,2023-09-24,14346,130,Jennifer Smith
MNT-5358,AST-1112,Predictive,2023-06-04,1165,9,Billy Wright
MNT-5359,AST-1078,Reactive,2023-11-11,2186,159,Samantha Mann
MNT-5360,AST-1189,Reactive,2023-08-01,5863,262,Christine Byrd
MNT-5361,AST-1392,Predictive,2023-04-09,664,17,Susan White
